Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Casual Contextual ,Polite Contextual,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Polite Causative Passive,Casual Causative Passive Negative,Polite Causative Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative Negative,Casual Respectful,Polite Respectful,Casual Humble,Polite Humble,,,,,,,,,
to keep in mind,こころがける,心掛ける,心掛けます,心掛けない,心掛けません,心掛けた,心掛けました,心掛けなかった,心掛けませんでした,心掛けて,心掛けまして,心掛けなくて,心掛けないで,心掛けませんで,心掛け,心掛けたら,心掛けましたら,心掛けなかったら,心掛けませんでしたら,心掛けなければ,心掛けるなら,心掛けますなら,心掛けませば,心掛ければ,心掛けなくちゃ,心掛けなきゃ,心掛けませんなら,心掛けられる,心掛けられます,心掛けられない,心掛けられません,心掛けられる,心掛けられます,心掛けられない,心掛けられません,心掛けさせる,心掛けさせます,心掛けさします,心掛けさせない,心掛けささない,心掛けさせません,心掛けさしません,心掛けさせられる,心掛けさせられます,心掛けさせられない,心掛けさせられません,心掛けよう,心掛けましょう,心掛けまい,心掛けますまい,心掛けるだろう,心掛けるでしょう,心掛けないだろう,心掛けないでしょう,心掛けたり,心掛けましたり,心掛けなかったり,心掛けませんでしたり,心掛けろ,心掛けなさい,心掛けるな,心掛けなさるな,お心掛けになる,お心掛けになります,お心掛けする,お心掛けします,心掛けず＋に,心掛けぬ,,,心掛けよ,心掛けられる,心掛けれない,心掛けれる,
to knock together,うちあわせる,打ち合わせる,打ち合わせます,打ち合わせない,打ち合わせません,打ち合わせた,打ち合わせました,打ち合わせなかった,打ち合わせませんでした,打ち合わせて,打ち合わせまして,打ち合わせなくて,打ち合わせないで,打ち合わせませんで,打ち合わせ,打ち合わせたら,打ち合わせましたら,打ち合わせなかったら,打ち合わせませんでしたら,打ち合わせなければ,打ち合わせるなら,打ち合わせますなら,打ち合わせませば,打ち合わせれば,打ち合わせなくちゃ,打ち合わせなきゃ,打ち合わせませんなら,打ち合わせられる,打ち合わせられます,打ち合わせられない,打ち合わせられません,打ち合わせられる,打ち合わせられます,打ち合わせられない,打ち合わせられません,打ち合わせさせる,打ち合わせさせます,打ち合わせさします,打ち合わせさせない,打ち合わせささない,打ち合わせさせません,打ち合わせさしません,打ち合わせさせられる,打ち合わせさせられます,打ち合わせさせられない,打ち合わせさせられません,打ち合わせよう,打ち合わせましょう,打ち合わせまい,打ち合わせますまい,打ち合わせるだろう,打ち合わせるでしょう,打ち合わせないだろう,打ち合わせないでしょう,打ち合わせたり,打ち合わせましたり,打ち合わせなかったり,打ち合わせませんでしたり,打ち合わせろ,打ち合わせなさい,打ち合わせるな,打ち合わせなさるな,お打ち合わせになる,お打ち合わせになります,お打ち合わせする,お打ち合わせします,打ち合わせず＋に,打ち合わせぬ,,,打ち合わせよ,打ち合わせられる,打ち合わせれない,打ち合わせれる,
to lay in stock,しいれる,仕入れる,仕入れます,仕入れない,仕入れません,仕入れた,仕入れました,仕入れなかった,仕入れませんでした,仕入れて,仕入れまして,仕入れなくて,仕入れないで,仕入れませんで,仕入れ,仕入れたら,仕入れましたら,仕入れなかったら,仕入れませんでしたら,仕入れなければ,仕入れるなら,仕入れますなら,仕入れませば,仕入れれば,仕入れなくちゃ,仕入れなきゃ,仕入れませんなら,仕入れられる,仕入れられます,仕入れられない,仕入れられません,仕入れられる,仕入れられます,仕入れられない,仕入れられません,仕入れさせる,仕入れさせます,仕入れさします,仕入れさせない,仕入れささない,仕入れさせません,仕入れさしません,仕入れさせられる,仕入れさせられます,仕入れさせられない,仕入れさせられません,仕入れよう,仕入れましょう,仕入れまい,仕入れますまい,仕入れるだろう,仕入れるでしょう,仕入れないだろう,仕入れないでしょう,仕入れたり,仕入れましたり,仕入れなかったり,仕入れませんでしたり,仕入れろ,仕入れなさい,仕入れるな,仕入れなさるな,お仕入れになる,お仕入れになります,お仕入れする,お仕入れします,仕入れず＋に,仕入れぬ,,,仕入れよ,仕入れられる,仕入れれない,仕入れれる,
to learn by experience,こりる,懲りる,懲ります,懲りない,懲りません,懲りた,懲りました,懲りなかった,懲りませんでした,懲りて,懲りまして,懲りなくて,懲りないで,懲りませんで,懲り,懲りたら,懲りましたら,懲りなかったら,懲りませんでしたら,懲りなければ,懲りるなら,懲りますなら,懲りませば,懲りれば,懲りなくちゃ,懲りなきゃ,懲りませんなら,懲りられる,懲りられます,懲りられない,懲りられません,懲りられる,懲りられます,懲りられない,懲りられません,懲りさせる,懲りさせます,懲りさします,懲りさせない,懲りささない,懲りさせません,懲りさしません,懲りさせられる,懲りさせられます,懲りさせられない,懲りさせられません,懲りよう,懲りましょう,懲りまい,懲りますまい,懲りるだろう,懲りるでしょう,懲りないだろう,懲りないでしょう,懲りたり,懲りましたり,懲りなかったり,懲りませんでしたり,懲りろ,懲りなさい,懲りるな,懲りなさるな,お懲りになる,お懲りになります,お懲りする,お懲りします,懲りず＋に,懲りぬ,,,懲りよ,懲りられる,懲りれない,懲りれる,
to lift up,ささげる,捧げる,捧げます,捧げない,捧げません,捧げた,捧げました,捧げなかった,捧げませんでした,捧げて,捧げまして,捧げなくて,捧げないで,捧げませんで,捧げ,捧げたら,捧げましたら,捧げなかったら,捧げませんでしたら,捧げなければ,捧げるなら,捧げますなら,捧げませば,捧げれば,捧げなくちゃ,捧げなきゃ,捧げませんなら,捧げられる,捧げられます,捧げられない,捧げられません,捧げられる,捧げられます,捧げられない,捧げられません,捧げさせる,捧げさせます,捧げさします,捧げさせない,捧げささない,捧げさせません,捧げさしません,捧げさせられる,捧げさせられます,捧げさせられない,捧げさせられません,捧げよう,捧げましょう,捧げまい,捧げますまい,捧げるだろう,捧げるでしょう,捧げないだろう,捧げないでしょう,捧げたり,捧げましたり,捧げなかったり,捧げませんでしたり,捧げろ,捧げなさい,捧げるな,捧げなさるな,お捧げになる,お捧げになります,お捧げする,お捧げします,捧げず＋に,捧げぬ,,,捧げよ,捧げられる,捧げれない,捧げれる,
to line up,つらねる,連ねる,連ねます,連ねない,連ねません,連ねた,連ねました,連ねなかった,連ねませんでした,連ねて,連ねまして,連ねなくて,連ねないで,連ねませんで,連ね,連ねたら,連ねましたら,連ねなかったら,連ねませんでしたら,連ねなければ,連ねるなら,連ねますなら,連ねませば,連ねれば,連ねなくちゃ,連ねなきゃ,連ねませんなら,連ねられる,連ねられます,連ねられない,連ねられません,連ねられる,連ねられます,連ねられない,連ねられません,連ねさせる,連ねさせます,連ねさします,連ねさせない,連ねささない,連ねさせません,連ねさしません,連ねさせられる,連ねさせられます,連ねさせられない,連ねさせられません,連ねよう,連ねましょう,連ねまい,連ねますまい,連ねるだろう,連ねるでしょう,連ねないだろう,連ねないでしょう,連ねたり,連ねましたり,連ねなかったり,連ねませんでしたり,連ねろ,連ねなさい,連ねるな,連ねなさるな,お連ねになる,お連ねになります,お連ねする,お連ねします,連ねず＋に,連ねぬ,,,連ねよ,連ねられる,連ねれない,連ねれる,
"to load (a gun, etc.);  to charge",こめる,込める,込めます,込めない,込めません,込めた,込めました,込めなかった,込めませんでした,込めて,込めまして,込めなくて,込めないで,込めませんで,込め,込めたら,込めましたら,込めなかったら,込めませんでしたら,込めなければ,込めるなら,込めますなら,込めませば,込めれば,込めなくちゃ,込めなきゃ,込めませんなら,込められる,込められます,込められない,込められません,込められる,込められます,込められない,込められません,込めさせる,込めさせます,込めさします,込めさせない,込めささない,込めさせません,込めさしません,込めさせられる,込めさせられます,込めさせられない,込めさせられません,込めよう,込めましょう,込めまい,込めますまい,込めるだろう,込めるでしょう,込めないだろう,込めないでしょう,込めたり,込めましたり,込めなかったり,込めませんでしたり,込めろ,込めなさい,込めるな,込めなさるな,お込めになる,お込めになります,お込めする,お込めします,込めず＋に,込めぬ,,,込めよ,込められる,込めれない,込めれる,
to look back (e.g. over shoulder or at the past),かえりみる,顧みる,顧みます,顧みない,顧みません,顧みた,顧みました,顧みなかった,顧みませんでした,顧みて,顧みまして,顧みなくて,顧みないで,顧みませんで,顧み,顧みたら,顧みましたら,顧みなかったら,顧みませんでしたら,顧みなければ,顧みるなら,顧みますなら,顧みませば,顧みれば,顧みなくちゃ,顧みなきゃ,顧みませんなら,顧みられる,顧みられます,顧みられない,顧みられません,顧みられる,顧みられます,顧みられない,顧みられません,顧みさせる,顧みさせます,顧みさします,顧みさせない,顧みささない,顧みさせません,顧みさしません,顧みさせられる,顧みさせられます,顧みさせられない,顧みさせられません,顧みよう,顧みましょう,顧みまい,顧みますまい,顧みるだろう,顧みるでしょう,顧みないだろう,顧みないでしょう,顧みたり,顧みましたり,顧みなかったり,顧みませんでしたり,顧みろ,顧みなさい,顧みるな,顧みなさるな,お顧みになる,お顧みになります,お顧みする,お顧みします,顧みず＋に,顧みぬ,,,顧みよ,顧みられる,顧みれない,顧みれる,
to look back (e.g. over shoulder or at the past),かえりみる,省みる,省みます,省みない,省みません,省みた,省みました,省みなかった,省みませんでした,省みて,省みまして,省みなくて,省みないで,省みませんで,省み,省みたら,省みましたら,省みなかったら,省みませんでしたら,省みなければ,省みるなら,省みますなら,省みませば,省みれば,省みなくちゃ,省みなきゃ,省みませんなら,省みられる,省みられます,省みられない,省みられません,省みられる,省みられます,省みられない,省みられません,省みさせる,省みさせます,省みさします,省みさせない,省みささない,省みさせません,省みさしません,省みさせられる,省みさせられます,省みさせられない,省みさせられません,省みよう,省みましょう,省みまい,省みますまい,省みるだろう,省みるでしょう,省みないだろう,省みないでしょう,省みたり,省みましたり,省みなかったり,省みませんでしたり,省みろ,省みなさい,省みるな,省みなさるな,お省みになる,お省みになります,お省みする,お省みします,省みず＋に,省みぬ,,,省みよ,省みられる,省みれない,省みれる,
to make,こしらえる,拵える,拵えます,拵えない,拵えません,拵えた,拵えました,拵えなかった,拵えませんでした,拵えて,拵えまして,拵えなくて,拵えないで,拵えませんで,拵え,拵えたら,拵えましたら,拵えなかったら,拵えませんでしたら,拵えなければ,拵えるなら,拵えますなら,拵えませば,拵えれば,拵えなくちゃ,拵えなきゃ,拵えませんなら,拵えられる,拵えられます,拵えられない,拵えられません,拵えられる,拵えられます,拵えられない,拵えられません,拵えさせる,拵えさせます,拵えさします,拵えさせない,拵えささない,拵えさせません,拵えさしません,拵えさせられる,拵えさせられます,拵えさせられない,拵えさせられません,拵えよう,拵えましょう,拵えまい,拵えますまい,拵えるだろう,拵えるでしょう,拵えないだろう,拵えないでしょう,拵えたり,拵えましたり,拵えなかったり,拵えませんでしたり,拵えろ,拵えなさい,拵えるな,拵えなさるな,お拵えになる,お拵えになります,お拵えする,お拵えします,拵えず＋に,拵えぬ,,,拵えよ,拵えられる,拵えれない,拵えれる,
to melt (to a liquid),とろける,蕩ける,蕩けます,蕩けない,蕩けません,蕩けた,蕩けました,蕩けなかった,蕩けませんでした,蕩けて,蕩けまして,蕩けなくて,蕩けないで,蕩けませんで,蕩け,蕩けたら,蕩けましたら,蕩けなかったら,蕩けませんでしたら,蕩けなければ,蕩けるなら,蕩けますなら,蕩けませば,蕩ければ,蕩けなくちゃ,蕩けなきゃ,蕩けませんなら,蕩けられる,蕩けられます,蕩けられない,蕩けられません,蕩けられる,蕩けられます,蕩けられない,蕩けられません,蕩けさせる,蕩けさせます,蕩けさします,蕩けさせない,蕩けささない,蕩けさせません,蕩けさしません,蕩けさせられる,蕩けさせられます,蕩けさせられない,蕩けさせられません,蕩けよう,蕩けましょう,蕩けまい,蕩けますまい,蕩けるだろう,蕩けるでしょう,蕩けないだろう,蕩けないでしょう,蕩けたり,蕩けましたり,蕩けなかったり,蕩けませんでしたり,蕩けろ,蕩けなさい,蕩けるな,蕩けなさるな,お蕩けになる,お蕩けになります,お蕩けする,お蕩けします,蕩けず＋に,蕩けぬ,,,蕩けよ,蕩けられる,蕩けれない,蕩けれる,
to mix,とりまぜる,取り混ぜる,取り混ぜます,取り混ぜない,取り混ぜません,取り混ぜた,取り混ぜました,取り混ぜなかった,取り混ぜませんでした,取り混ぜて,取り混ぜまして,取り混ぜなくて,取り混ぜないで,取り混ぜませんで,取り混ぜ,取り混ぜたら,取り混ぜましたら,取り混ぜなかったら,取り混ぜませんでしたら,取り混ぜなければ,取り混ぜるなら,取り混ぜますなら,取り混ぜませば,取り混ぜれば,取り混ぜなくちゃ,取り混ぜなきゃ,取り混ぜませんなら,取り混ぜられる,取り混ぜられます,取り混ぜられない,取り混ぜられません,取り混ぜられる,取り混ぜられます,取り混ぜられない,取り混ぜられません,取り混ぜさせる,取り混ぜさせます,取り混ぜさします,取り混ぜさせない,取り混ぜささない,取り混ぜさせません,取り混ぜさしません,取り混ぜさせられる,取り混ぜさせられます,取り混ぜさせられない,取り混ぜさせられません,取り混ぜよう,取り混ぜましょう,取り混ぜまい,取り混ぜますまい,取り混ぜるだろう,取り混ぜるでしょう,取り混ぜないだろう,取り混ぜないでしょう,取り混ぜたり,取り混ぜましたり,取り混ぜなかったり,取り混ぜませんでしたり,取り混ぜろ,取り混ぜなさい,取り混ぜるな,取り混ぜなさるな,お取り混ぜになる,お取り混ぜになります,お取り混ぜする,お取り混ぜします,取り混ぜず＋に,取り混ぜぬ,,,取り混ぜよ,取り混ぜられる,取り混ぜれない,取り混ぜれる,
to order,とりよせる,取り寄せる,取り寄せます,取り寄せない,取り寄せません,取り寄せた,取り寄せました,取り寄せなかった,取り寄せませんでした,取り寄せて,取り寄せまして,取り寄せなくて,取り寄せないで,取り寄せませんで,取り寄せ,取り寄せたら,取り寄せましたら,取り寄せなかったら,取り寄せませんでしたら,取り寄せなければ,取り寄せるなら,取り寄せますなら,取り寄せませば,取り寄せれば,取り寄せなくちゃ,取り寄せなきゃ,取り寄せませんなら,取り寄せられる,取り寄せられます,取り寄せられない,取り寄せられません,取り寄せられる,取り寄せられます,取り寄せられない,取り寄せられません,取り寄せさせる,取り寄せさせます,取り寄せさします,取り寄せさせない,取り寄せささない,取り寄せさせません,取り寄せさしません,取り寄せさせられる,取り寄せさせられます,取り寄せさせられない,取り寄せさせられません,取り寄せよう,取り寄せましょう,取り寄せまい,取り寄せますまい,取り寄せるだろう,取り寄せるでしょう,取り寄せないだろう,取り寄せないでしょう,取り寄せたり,取り寄せましたり,取り寄せなかったり,取り寄せませんでしたり,取り寄せろ,取り寄せなさい,取り寄せるな,取り寄せなさるな,お取り寄せになる,お取り寄せになります,お取り寄せする,お取り寄せします,取り寄せず＋に,取り寄せぬ,,,取り寄せよ,取り寄せられる,取り寄せれない,取り寄せれる,
to overflow,あふれる,溢れる,溢れます,溢れない,溢れません,溢れた,溢れました,溢れなかった,溢れませんでした,溢れて,溢れまして,溢れなくて,溢れないで,溢れませんで,溢れ,溢れたら,溢れましたら,溢れなかったら,溢れませんでしたら,溢れなければ,溢れるなら,溢れますなら,溢れませば,溢れれば,溢れなくちゃ,溢れなきゃ,溢れませんなら,溢れられる,溢れられます,溢れられない,溢れられません,溢れられる,溢れられます,溢れられない,溢れられません,溢れさせる,溢れさせます,溢れさします,溢れさせない,溢れささない,溢れさせません,溢れさしません,溢れさせられる,溢れさせられます,溢れさせられない,溢れさせられません,溢れよう,溢れましょう,溢れまい,溢れますまい,溢れるだろう,溢れるでしょう,溢れないだろう,溢れないでしょう,溢れたり,溢れましたり,溢れなかったり,溢れませんでしたり,溢れろ,溢れなさい,溢れるな,溢れなさるな,お溢れになる,お溢れになります,お溢れする,お溢れします,溢れず＋に,溢れぬ,,,溢れよ,溢れられる,溢れれない,溢れれる,
to pause,とぎれる,跡切れる,跡切れます,跡切れない,跡切れません,跡切れた,跡切れました,跡切れなかった,跡切れませんでした,跡切れて,跡切れまして,跡切れなくて,跡切れないで,跡切れませんで,跡切れ,跡切れたら,跡切れましたら,跡切れなかったら,跡切れませんでしたら,跡切れなければ,跡切れるなら,跡切れますなら,跡切れませば,跡切れれば,跡切れなくちゃ,跡切れなきゃ,跡切れませんなら,跡切れられる,跡切れられます,跡切れられない,跡切れられません,跡切れられる,跡切れられます,跡切れられない,跡切れられません,跡切れさせる,跡切れさせます,跡切れさします,跡切れさせない,跡切れささない,跡切れさせません,跡切れさしません,跡切れさせられる,跡切れさせられます,跡切れさせられない,跡切れさせられません,跡切れよう,跡切れましょう,跡切れまい,跡切れますまい,跡切れるだろう,跡切れるでしょう,跡切れないだろう,跡切れないでしょう,跡切れたり,跡切れましたり,跡切れなかったり,跡切れませんでしたり,跡切れろ,跡切れなさい,跡切れるな,跡切れなさるな,お跡切れになる,お跡切れになります,お跡切れする,お跡切れします,跡切れず＋に,跡切れぬ,,,跡切れよ,跡切れられる,跡切れれない,跡切れれる,
to perform,えんずる,演ずる,演ずます,演ずない,演ずません,演ずた,演ずました,演ずなかった,演ずませんでした,演ずて,演ずまして,演ずなくて,演ずないで,演ずませんで,演ず,演ずたら,演ずましたら,演ずなかったら,演ずませんでしたら,演ずなければ,演ずるなら,演ずますなら,演ずませば,演ずれば,演ずなくちゃ,演ずなきゃ,演ずませんなら,演ずられる,演ずられます,演ずられない,演ずられません,演ずられる,演ずられます,演ずられない,演ずられません,演ずさせる,演ずさせます,演ずさします,演ずさせない,演ずささない,演ずさせません,演ずさしません,演ずさせられる,演ずさせられます,演ずさせられない,演ずさせられません,演ずよう,演ずましょう,演ずまい,演ずますまい,演ずるだろう,演ずるでしょう,演ずないだろう,演ずないでしょう,演ずたり,演ずましたり,演ずなかったり,演ずませんでしたり,演ずろ,演ずなさい,演ずるな,演ずなさるな,お演ずになる,お演ずになります,お演ずする,お演ずします,演ずず＋に,演ずぬ,,,演ずよ,演ずられる,演ずれない,演ずれる,
to perform (a play),えんじる,演じる,演じます,演じない,演じません,演じた,演じました,演じなかった,演じませんでした,演じて,演じまして,演じなくて,演じないで,演じませんで,演じ,演じたら,演じましたら,演じなかったら,演じませんでしたら,演じなければ,演じるなら,演じますなら,演じませば,演じれば,演じなくちゃ,演じなきゃ,演じませんなら,演じられる,演じられます,演じられない,演じられません,演じられる,演じられます,演じられない,演じられません,演じさせる,演じさせます,演じさします,演じさせない,演じささない,演じさせません,演じさしません,演じさせられる,演じさせられます,演じさせられない,演じさせられません,演じよう,演じましょう,演じまい,演じますまい,演じるだろう,演じるでしょう,演じないだろう,演じないでしょう,演じたり,演じましたり,演じなかったり,演じませんでしたり,演じろ,演じなさい,演じるな,演じなさるな,お演じになる,お演じになります,お演じする,お演じします,演じず＋に,演じぬ,,,演じよ,演じられる,演じれない,演じれる,
to pierce,しみる,染みる,染みます,染みない,染みません,染みた,染みました,染みなかった,染みませんでした,染みて,染みまして,染みなくて,染みないで,染みませんで,染み,染みたら,染みましたら,染みなかったら,染みませんでしたら,染みなければ,染みるなら,染みますなら,染みませば,染みれば,染みなくちゃ,染みなきゃ,染みませんなら,染みられる,染みられます,染みられない,染みられません,染みられる,染みられます,染みられない,染みられません,染みさせる,染みさせます,染みさします,染みさせない,染みささない,染みさせません,染みさしません,染みさせられる,染みさせられます,染みさせられない,染みさせられません,染みよう,染みましょう,染みまい,染みますまい,染みるだろう,染みるでしょう,染みないだろう,染みないでしょう,染みたり,染みましたり,染みなかったり,染みませんでしたり,染みろ,染みなさい,染みるな,染みなさるな,お染みになる,お染みになります,お染みする,お染みします,染みず＋に,染みぬ,,,染みよ,染みられる,染みれない,染みれる,
to pin something down,おさえる,押さえる,押さえます,押さえない,押さえません,押さえた,押さえました,押さえなかった,押さえませんでした,押さえて,押さえまして,押さえなくて,押さえないで,押さえませんで,押さえ,押さえたら,押さえましたら,押さえなかったら,押さえませんでしたら,押さえなければ,押さえるなら,押さえますなら,押さえませば,押さえれば,押さえなくちゃ,押さえなきゃ,押さえませんなら,押さえられる,押さえられます,押さえられない,押さえられません,押さえられる,押さえられます,押さえられない,押さえられません,押さえさせる,押さえさせます,押さえさします,押さえさせない,押さえささない,押さえさせません,押さえさしません,押さえさせられる,押さえさせられます,押さえさせられない,押さえさせられません,押さえよう,押さえましょう,押さえまい,押さえますまい,押さえるだろう,押さえるでしょう,押さえないだろう,押さえないでしょう,押さえたり,押さえましたり,押さえなかったり,押さえませんでしたり,押さえろ,押さえなさい,押さえるな,押さえなさるな,お押さえになる,お押さえになります,お押さえする,お押さえします,押さえず＋に,押さえぬ,,,押さえよ,押さえられる,押さえれない,押さえれる,
to place (in position),すえる,据える,据えます,据えない,据えません,据えた,据えました,据えなかった,据えませんでした,据えて,据えまして,据えなくて,据えないで,据えませんで,据え,据えたら,据えましたら,据えなかったら,据えませんでしたら,据えなければ,据えるなら,据えますなら,据えませば,据えれば,据えなくちゃ,据えなきゃ,据えませんなら,据えられる,据えられます,据えられない,据えられません,据えられる,据えられます,据えられない,据えられません,据えさせる,据えさせます,据えさします,据えさせない,据えささない,据えさせません,据えさしません,据えさせられる,据えさせられます,据えさせられない,据えさせられません,据えよう,据えましょう,据えまい,据えますまい,据えるだろう,据えるでしょう,据えないだろう,据えないでしょう,据えたり,据えましたり,据えなかったり,据えませんでしたり,据えろ,据えなさい,据えるな,据えなさるな,お据えになる,お据えになります,お据えする,お据えします,据えず＋に,据えぬ,,,据えよ,据えられる,据えれない,据えれる,
to prohibit,きんじる,禁じる,禁じます,禁じない,禁じません,禁じた,禁じました,禁じなかった,禁じませんでした,禁じて,禁じまして,禁じなくて,禁じないで,禁じませんで,禁じ,禁じたら,禁じましたら,禁じなかったら,禁じませんでしたら,禁じなければ,禁じるなら,禁じますなら,禁じませば,禁じれば,禁じなくちゃ,禁じなきゃ,禁じませんなら,禁じられる,禁じられます,禁じられない,禁じられません,禁じられる,禁じられます,禁じられない,禁じられません,禁じさせる,禁じさせます,禁じさします,禁じさせない,禁じささない,禁じさせません,禁じさしません,禁じさせられる,禁じさせられます,禁じさせられない,禁じさせられません,禁じよう,禁じましょう,禁じまい,禁じますまい,禁じるだろう,禁じるでしょう,禁じないだろう,禁じないでしょう,禁じたり,禁じましたり,禁じなかったり,禁じませんでしたり,禁じろ,禁じなさい,禁じるな,禁じなさるな,お禁じになる,お禁じになります,お禁じする,お禁じします,禁じず＋に,禁じぬ,,,禁じよ,禁じられる,禁じれない,禁じれる,
to provide,そなえつける,備え付ける,備え付けます,備え付けない,備え付けません,備え付けた,備え付けました,備え付けなかった,備え付けませんでした,備え付けて,備え付けまして,備え付けなくて,備え付けないで,備え付けませんで,備え付け,備え付けたら,備え付けましたら,備え付けなかったら,備え付けませんでしたら,備え付けなければ,備え付けるなら,備え付けますなら,備え付けませば,備え付ければ,備え付けなくちゃ,備え付けなきゃ,備え付けませんなら,備え付けられる,備え付けられます,備え付けられない,備え付けられません,備え付けられる,備え付けられます,備え付けられない,備え付けられません,備え付けさせる,備え付けさせます,備え付けさします,備え付けさせない,備え付けささない,備え付けさせません,備え付けさしません,備え付けさせられる,備え付けさせられます,備え付けさせられない,備え付けさせられません,備え付けよう,備え付けましょう,備え付けまい,備え付けますまい,備え付けるだろう,備え付けるでしょう,備え付けないだろう,備え付けないでしょう,備え付けたり,備え付けましたり,備え付けなかったり,備え付けませんでしたり,備え付けろ,備え付けなさい,備え付けるな,備え付けなさるな,お備え付けになる,お備え付けになります,お備え付けする,お備え付けします,備え付けず＋に,備え付けぬ,,,備え付けよ,備え付けられる,備え付けれない,備え付けれる,
to publish,かかげる,掲げる,掲げます,掲げない,掲げません,掲げた,掲げました,掲げなかった,掲げませんでした,掲げて,掲げまして,掲げなくて,掲げないで,掲げませんで,掲げ,掲げたら,掲げましたら,掲げなかったら,掲げませんでしたら,掲げなければ,掲げるなら,掲げますなら,掲げませば,掲げれば,掲げなくちゃ,掲げなきゃ,掲げませんなら,掲げられる,掲げられます,掲げられない,掲げられません,掲げられる,掲げられます,掲げられない,掲げられません,掲げさせる,掲げさせます,掲げさします,掲げさせない,掲げささない,掲げさせません,掲げさしません,掲げさせられる,掲げさせられます,掲げさせられない,掲げさせられません,掲げよう,掲げましょう,掲げまい,掲げますまい,掲げるだろう,掲げるでしょう,掲げないだろう,掲げないでしょう,掲げたり,掲げましたり,掲げなかったり,掲げませんでしたり,掲げろ,掲げなさい,掲げるな,掲げなさるな,お掲げになる,お掲げになります,お掲げする,お掲げします,掲げず＋に,掲げぬ,,,掲げよ,掲げられる,掲げれない,掲げれる,
to put in order,ととのえる,整える,整えます,整えない,整えません,整えた,整えました,整えなかった,整えませんでした,整えて,整えまして,整えなくて,整えないで,整えませんで,整え,整えたら,整えましたら,整えなかったら,整えませんでしたら,整えなければ,整えるなら,整えますなら,整えませば,整えれば,整えなくちゃ,整えなきゃ,整えませんなら,整えられる,整えられます,整えられない,整えられません,整えられる,整えられます,整えられない,整えられません,整えさせる,整えさせます,整えさします,整えさせない,整えささない,整えさせません,整えさしません,整えさせられる,整えさせられます,整えさせられない,整えさせられません,整えよう,整えましょう,整えまい,整えますまい,整えるだろう,整えるでしょう,整えないだろう,整えないでしょう,整えたり,整えましたり,整えなかったり,整えませんでしたり,整えろ,整えなさい,整えるな,整えなさるな,お整えになる,お整えになります,お整えする,お整えします,整えず＋に,整えぬ,,,整えよ,整えられる,整えれない,整えれる,
"to put something out of the way;  to move (something, someone) aside",のける,退ける,退けます,退けない,退けません,退けた,退けました,退けなかった,退けませんでした,退けて,退けまして,退けなくて,退けないで,退けませんで,退け,退けたら,退けましたら,退けなかったら,退けませんでしたら,退けなければ,退けるなら,退けますなら,退けませば,退ければ,退けなくちゃ,退けなきゃ,退けませんなら,退けられる,退けられます,退けられない,退けられません,退けられる,退けられます,退けられない,退けられません,退けさせる,退けさせます,退けさします,退けさせない,退けささない,退けさせません,退けさしません,退けさせられる,退けさせられます,退けさせられない,退けさせられません,退けよう,退けましょう,退けまい,退けますまい,退けるだろう,退けるでしょう,退けないだろう,退けないでしょう,退けたり,退けましたり,退けなかったり,退けませんでしたり,退けろ,退けなさい,退けるな,退けなさるな,お退けになる,お退けになります,お退けする,お退けします,退けず＋に,退けぬ,,,退けよ,退けられる,退けれない,退けれる,
to recite,となえる,唱える,唱えます,唱えない,唱えません,唱えた,唱えました,唱えなかった,唱えませんでした,唱えて,唱えまして,唱えなくて,唱えないで,唱えませんで,唱え,唱えたら,唱えましたら,唱えなかったら,唱えませんでしたら,唱えなければ,唱えるなら,唱えますなら,唱えませば,唱えれば,唱えなくちゃ,唱えなきゃ,唱えませんなら,唱えられる,唱えられます,唱えられない,唱えられません,唱えられる,唱えられます,唱えられない,唱えられません,唱えさせる,唱えさせます,唱えさします,唱えさせない,唱えささない,唱えさせません,唱えさしません,唱えさせられる,唱えさせられます,唱えさせられない,唱えさせられません,唱えよう,唱えましょう,唱えまい,唱えますまい,唱えるだろう,唱えるでしょう,唱えないだろう,唱えないでしょう,唱えたり,唱えましたり,唱えなかったり,唱えませんでしたり,唱えろ,唱えなさい,唱えるな,唱えなさるな,お唱えになる,お唱えになります,お唱えする,お唱えします,唱えず＋に,唱えぬ,,,唱えよ,唱えられる,唱えれない,唱えれる,
